date,open,high,low,close,volume,macd,signal,Upper_Band,Lower_Band,BB_Width,RSI_14,RSI_5,RSI_9,EMA_50,EMA_200,average_true_range,adx,bull_market,drawdown
2025-07-29,6405.6201171875,6409.259765625,6363.919921875,6370.85986328125,5076120000,81.72610898632047,83.18154524130962,6402.676592443257,6179.390399744243,223.28619269901355,71.83198041724587,69.97173384690947,73.04854125691101,6121.0868699910325,5838.966855429142,39.187518916924276,44.6510638464787,1,-0.0029594423887242247
2025-07-28,6397.68994140625,6401.06982421875,6375.7900390625,6389.77001953125,4565620000,83.83751416308951,83.5454043050569,6394.077753750601,6171.398271640023,222.67948211057774,76.29508876049147,90.51317066988604,81.8283229711205,6110.89205393837,5833.621197058769,38.241007404143396,44.85798522550682,1,0
2025-07-25,6370.009765625,6395.81982421875,6368.52978515625,6388.64013671875,4470720000,83.38758247361056,83.47237684054875,6381.63540656259,6162.1705992967845,219.46480726580558,76.21308925486579,90.37815164646503,81.71157908605792,6099.509279832538,5828.0317616570355,40.23504159612699,43.23018312799149,1,0
2025-07-24,6368.60009765625,6381.31005859375,6360.56982421875,6363.35009765625,5282720000,81.7154383494244,83.49357543228328,6369.651932012148,6149.392062128478,220.25986988367004,74.3704272474155,87.08741474160331,79.03134106498517,6087.708020367794,5822.39750663129,41.42970544745422,41.581892139378844,1,0
2025-07-23,6326.89990234375,6360.64013671875,6317.490234375,6358.91015625,5642510000,80.96757199583408,83.93810970299799,6367.778365080824,6124.146634919175,243.6317301616491,74.0426253529148,86.43586987571413,78.5405565800409,6076.457323335612,5816.960797173752,44.357367463408714,40.29899110488109,1,0
2025-07-22,6306.60009765625,6316.1201171875,6281.7099609375,6309.6201171875,5662040000,79.28737920049389,84.68074412978896,6360.3210368962555,6104.93096505687,255.3900718393852,70.10049133549533,75.42155727358244,72.09555632500133,6064.928636277882,5811.514069946855,43.332344068356214,39.75012449763995,1,0
2025-07-21,6304.740234375,6336.080078125,6303.7900390625,6305.60009765625,5010840000,81.0081934033442,86.02908536211272,6369.793349614387,6067.013632807488,302.77971680689916,69.75260050754099,74.04650138921347,71.47446602553221,6054.941228893816,5806.507979019812,44.70498834810332,41.63356911658812,1,0
2025-07-18,6312.9501953125,6315.60986328125,6285.27001953125,6296.7900390625,5184700000,82.4355881613883,87.28430835180485,6382.661408602111,6020.369548429138,362.2918601729725,69.01903341503487,71.22397933892293,70.18156794035028,6044.710254658614,5801.491977827486,45.53805746896537,40.997612874011686,1,-0.00009048620868445847
2025-07-17,6263.39990234375,6304.68994140625,6262.27001953125,6297.35986328125,5512290000,83.95542397249028,88.49648839940899,6385.061451746368,5986.377513097382,398.68393864898644,69.11971061612539,71.62704011047805,70.36492444426031,6034.421283866619,5796.514107865325,47.87624419496004,41.34864799057005,1,0
2025-07-16,6254.5,6268.1201171875,6201.58984375,6263.7001953125,5177460000,84.61609886587848,89.63175450613865,6380.928878705658,5959.046121294343,421.88275741131474,66.43408822146736,61.26951015024958,65.65324964310977,6023.689096951735,5791.480482182752,48.71567839803081,42.3566947716422,1,-0.002668557037102459
