date,open,high,low,close,volume,macd,signal,Upper_Band,Lower_Band,BB_Width,RSI_14,RSI_5,RSI_9,EMA_50,EMA_200,average_true_range,adx,bull_market,drawdown
2026-02-03,25811.05078125,25840.0390625,25112.4609375,25338.619140625,10306320000,61.35711562812867,77.57275674063392,26072.12472379227,25154.523323082733,917.6014007095364,45.678808032951544,34.42681709337958,41.98082775130839,25424.456829025603,23959.257016102696,388.40987228785553,19.018336204587275,1,-0.029909455086203823
2026-02-02,25491.640625,25833.119140625,25478.5,25738.609375,8882530000,95.3670881083417,81.6266670187604,26068.51585771162,25164.402306350883,904.1135513607369,53.49857867761138,52.30535315263908,53.42237177851175,25427.960408143994,23945.394080177848,336.2301410969097,16.513777498005698,1,-0.014595805109006613
2026-01-30,25740.189453125,25823.2890625,25456.1796875,25552.390625,9255930000,96.66286835460414,78.1915617463649,26071.712311994892,25107.961906755107,963.7504052397853,49.78214167764676,40.86812650400983,47.50124839106782,25415.2808584764,23927.371815908275,333.4010642461551,17.040018593648366,1,-0.021725201058252888
2026-01-29,26030.080078125,26046.33984375,25418.5390625,25884.30078125,8782210000,115.87114165271487,73.5737350943048,26078.81942414001,25070.600693047494,1008.2187310925146,57.370777964245335,62.103082750445786,59.481062219421226,25409.684541475435,23911.039968580717,328.21517028343465,17.507127075182257,1,-0.009018000932151472
2026-01-28,26121.740234375,26165.080078125,25974.66015625,26022.7890625,8151580000,104.90811543916789,62.99938345470141,26039.106129652693,25068.139964097307,970.9661655553864,60.97181056884305,75.13438608819625,65.61887733488032,25390.312450056066,23891.208201619218,282.12507628252376,18.046098400142288,1,-0.0037159688254928846
2026-01-27,25852.0390625,25982.58984375,25791.75,25939.740234375,8026050000,75.28879818805581,52.52220045858371,25963.91172443004,25093.611517757457,870.3002066725821,59.55829171149729,72.35106312456105,63.61766283027612,25364.497078119577,23869.785278394284,290.86126590423623,16.09596916032343,1,-0.006895498163027505
2026-01-26,25631.009765625,25797.099609375,25578.76953125,25713.2109375,7505250000,44.844511953331676,46.83055102621496,25910.701372358883,25117.286908891117,793.414463467765,55.47372750581162,63.41494273297469,57.63941550978336,25341.017765619355,23848.98171099749,294.16624431315824,15.69593315467961,1,-0.015568185803376457
2026-01-23,25501.91015625,25709.740234375,25435.01953125,25605.470703125,8228760000,28.398944103621034,47.32706079443586,25902.865866266366,25119.416360296134,783.4495059702313,53.3948995981882,58.285083084669154,54.47702939622194,25325.82620758341,23830.245738871836,305.8333468059986,17.49233156009537,1,-0.01969302710170957
2026-01-22,25548.380859375,25576.51953125,25399.490234375,25518.349609375,9034850000,17.96520421191235,52.05908996714052,25901.208944988754,25119.309219073748,781.8997259150055,51.70175411427913,54.123828342313125,51.89578602474002,25314.412146540897,23812.40428194467,310.6199073734206,19.62726533428939,1,-0.023028463371554335
2026-01-21,25048.55078125,25498.810546875,24993.98046875,25326.580078125,9162740000,13.257110194968845,60.58256140594972,25898.92141995888,25115.931705041123,782.9897149177559,47.82763512166278,44.347825122322476,45.89295776300913,25306.088168466034,23795.259102774515,319.95536187568575,20.217957845978432,1,-0.030370371311987866
2026-01-20,25155.029296875,25279.779296875,24954.1796875,24987.5703125,9469480000,26.58055456587317,72.41392420869866,25898.180070452552,25118.63301548495,779.5470549676029,39.91637544058568,20.341247076594897,32.69524684489711,25305.251763990156,23779.86894221823,290.52691994359134,19.77479919611726,1,-0.043349380406409364
2026-01-16,25710.599609375,25735.48046875,25444.279296875,25529.259765625,9514500000,77.71663844539944,83.87226661940954,25891.42895737239,25128.564011377606,762.8649459947846,51.50417725268259,45.34506204631345,50.02653782790194,25318.218353846896,23767.73124000434,285.13112156759837,15.809841031821058,1,-0.022610767388875932
2026-01-15,25767.30078125,25781.029296875,25520.19921875,25547.0703125,9740630000,86.70098177926411,85.41117366291283,26001.06417537005,24930.763754317446,1070.300421052605,51.96475295015515,46.860191072901614,50.81376858049274,25309.60441867228,23750.027435726744,284.19726767376653,15.818437951681801,1,-0.021928889539601967
2026-01-14,25575.5703125,25624.189453125,25266.19921875,25465.939453125,12165220000,95.0937404871438,85.0887216338248,25997.953148839366,24892.46169491063,1105.4914539287347,50.07637547790077,39.49257285702086,47.466469725694395,25299.91193320992,23731.96670329686,279.444563659775,16.855868228516375,1,-0.025034989329161258
2026-01-13,25779.279296875,25873.1796875,25642.109375,25741.94921875,9416400000,112.68330371104821,82.58746692049314,26001.832602778963,24848.715248783537,1153.1173539954252,57.177136048022696,63.425815461357324,59.76608752274969,25293.135299743997,23714.53984148954,267.3606143123311,15.27704383910473,1,-0.014467938991860163
2026-01-12,25616.810546875,25850.859375,25602.560546875,25787.66015625,8707170000,105.39237139417673,75.06350772284715,25963.55436367551,24832.47161288699,1131.0827507885188,58.45175548686394,68.96298517298288,62.13633376213296,25274.816364274364,23694.16386784873,272.9437376716142,15.929801869253893,1,-0.012717893023617172
2026-01-09,25518.8203125,25811.44921875,25455.970703125,25766.259765625,8124420000,89.89934383686705,67.48129180500563,25946.17050300484,24839.758403245163,1106.4120997596765,58.04516515831254,67.91385125773846,61.50094763369997,25253.88396460189,23673.123704146205,276.7352622200209,17.06189796222611,1,-0.013537208254946793
2026-01-08,25615.349609375,25622.310546875,25400.16015625,25507.099609375,7723140000,70.99590324005476,61.87677879703185,25948.069357446573,24838.87751755343,1109.1918398931448,52.85740755430629,52.289528011398154,53.01337921380262,25232.970666600948,23652.08716081476,264.6209155321058,18.990404532081854,1,-0.023459170292468693
2026-01-07,25617.80078125,25813.169921875,25592.400390625,25653.900390625,8396920000,72.2225086752951,59.59699768627184,25967.13414517265,24835.971714202347,1131.1624309703038,56.53433805987603,67.09507190935082,59.632904106639494,25221.781730161187,23633.443819623197,271.1548424472553,19.296396087159042,1,-0.01783889362757894
2026-01-06,25462.060546875,25655.119140625,25428.080078125,25639.7109375,9012640000,57.790770784144115,56.44061993900862,25963.629655569337,24836.881086618163,1126.748568951174,56.26125264144507,66.35850499029308,59.19514219862597,25204.144233815725,23613.137723432224,278.90642879400605,21.715773049681772,1,-0.018382137686683595
2026-01-05,25471.7890625,25520.51953125,25354.66015625,25401.3203125,8737320000,39.974754404123814,56.10308222772375,25971.136657810657,24834.608068751844,1136.528589058813,51.50836106256048,51.8815895507596,51.30974653386007,25186.366001012284,23592.77015344159,282.76913659424656,22.42397451337903,1,-0.027508936981670205
2026-01-02,25524.26953125,25597.650390625,25086.359375,25206.169921875,7331460000,40.925765900356055,60.13516418363854,25985.471529673458,24838.31108751404,1147.1604421594166,47.14223871910443,32.99956170867918,43.342745428235965,25177.59235564544,23574.59376993346,277.91060231301503,19.852400720129125,1,-0.03498028132489935
2025-12-31,25464.7109375,25483.76953125,25244.859375,25249.849609375,5895130000,61.41389512189926,64.93751375448117,26003.315582322426,24860.503948927577,1142.8116333948492,48.041257615482145,35.49350351897924,44.80122484674605,25176.425924370764,23558.19601966269,242.00592327995406,16.88520018126358,1,-0.033308001884043675
2025-12-30,25509.880859375,25577.580078125,25456.9296875,25462.560546875,6769300000,82.22358939507103,65.81841841263171,26014.671009045458,24879.749498767043,1134.9215102784146,52.57507626485513,50.30454777477283,52.43960103312727,25173.42903926855,23541.194476047487,242.48219513166498,15.329951215647597,1,-0.025164350956449772
2025-12-29,25462.25,25598.140625,25440.970703125,25525.560546875,6527530000,85.93086441165724,61.71712566699249,26010.434250226146,24872.015163836357,1138.4190863897893,53.97600670602169,55.82403522742366,54.90401383641261,25161.627753243796,23521.884264280376,261.2255497142331,16.916859862726582,1,-0.02275239219932937
2025-12-26,25692.6796875,25716.7109375,25620.3203125,25644.390625,5170300000,82.99835754936794,55.66369098077207,26004.584520511944,24868.797901363057,1135.7866191488865,56.61838688192729,66.90036289939236,59.6000802799608,25146.773353503744,23501.74681420405,277.2341078858021,18.747908309430223,1,-0.01820297557166436
2025-12-24,25582.33984375,25665.279296875,25556.849609375,25656.150390625,3885190000,65.94932804061682,48.830024338546565,25982.176399586155,24850.460905101347,1131.715494484808,56.87424416845474,67.96804414018047,60.05191202285929,25126.462444463083,23480.212705552833,305.056182261064,18.948303423338185,1,-0.01775275224339607
2025-12-23,25441.419921875,25590.029296875,25403.259765625,25587.830078125,7518190000,42.03196112989099,44.550198412969095,25964.34088887633,24804.517314248667,1159.8235746276623,55.7966328477101,65.40173721110244,58.424232794204165,25104.842528293208,23458.343985099847,335.306412331115,19.97253405322861,1,-0.020368399481865557
2025-12-22,25527.6796875,25554.029296875,25401.58984375,25461.69921875,7244910000,17.849412679282977,45.17975773374963,25961.15467926634,24736.305476983664,1224.8492022826758,53.81838182484501,60.75836217731047,55.44511894507295,25085.128750749052,23436.942114818186,358.15824028284885,22.314530533266375,1,-0.02519732695508228
2025-12-19,25147.30078125,25354.8203125,25134.259765625,25346.1796875,12874560000,-0.4338470709953981,52.01234399751575,26064.555144104048,24510.692121520955,1553.863022583093,51.99113653507389,56.47874491732598,52.68500394478518,25069.75852756534,23416.59279719073,381.2826451466079,25.55854139356094,1,-0.029619999098207384
2025-12-18,25031.490234375,25164.1796875,24921.44921875,25019.369140625,7977920000,-12.001950731013494,65.12389176500201,26166.658042752355,24279.409340060145,1887.24870269221,46.42225330185712,42.21630850751407,43.95398928284149,25058.476031241476,23397.199964122294,388.3336410727929,26.405171562332896,1,-0.04213196037526238
